cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,mlum_nn,mlum_nn2,mlum_nn3
49,139.47437493671976,128.98349221475308,-22.364385775768746,56.0,53.0,61.0,200.41622188239586,317.13988929183955,435.1732708037512,5.291622737880506,8.373497082737957,11.489952026209867,2.226846909804399,3.523776547687108,4.835258564486125,515436.3434985887,1713201.1876988588,305583.07340315176
50,139.47776227436051,128.98585918462277,-22.365212292774835,53.0,49.0,56.0,284.1499007739055,541.7189611556634,675.9623879850956,7.50245694574568,14.303095555181253,17.847547013000185,3.157221119710062,6.019099568396263,7.510693199834398,1713201.1876988588,1694267.1867298943,515436.3434985887
51,139.46317157941365,128.9741886616373,-22.363244350501766,57.0,48.0,52.0,61.937463627557484,127.25610043266522,228.40600862013213,1.6353451221655777,3.3599639203788727,6.030641718174148,0.6881940403061947,1.4139566714740588,2.5378445402236927,1718173.2746032928,665123.5571971342,1311389.507732342
52,139.464538141384,128.97452399850712,-22.36424683532092,62.0,64.0,59.0,70.95615816961808,71.31058951966048,209.93460447079013,1.8734672095721083,1.882825319276435,5.542938171628923,0.7884017574402012,0.7923398835517835,2.3326067163421143,1258368.0827966947,2026508.3014961903,2208081.791684194
53,139.47653816377414,128.9845570049813,-22.3653959833816,50.0,49.0,56.0,284.1499007739055,317.13988929183955,404.4668245992405,7.50245694574568,8.373497082737957,10.679204635558824,3.157221119710062,3.523776547687108,4.494075828880452,746066.9990829244,1694267.1867298943,515436.3434985887
54,139.46794032305255,128.9777377593523,-22.364173978590802,58.0,55.0,62.0,327.54186521442443,596.6357154217773,623.9806049647592,8.64814217779985,15.753071723955092,16.475063376683604,3.6393540579380512,6.6292857269086385,6.9331178329417735,797559.8322221941,228358.0642532583,1258368.0827966947
55,139.46595571916805,128.97511175282378,-22.365027667332225,64.0,59.0,62.0,148.19463506561286,182.32643295929537,185.84387301410453,3.9128075221638654,4.813995041430325,4.9068665944330645,1.6466070562845878,2.0258492551032834,2.0649319223789404,2026508.3014961903,2208081.791684194,1258368.0827966947
56,139.47411312045176,128.98274326399888,-22.36493296126143,49.0,61.0,53.0,200.41622188239586,262.2647852790541,404.4668245992405,5.291622737880506,6.924620612508881,10.679204635558824,2.226846909804399,2.9140531697672696,4.494075828880452,1694267.1867298943,305583.07340315176,1713201.1876988588
57,139.4633784980812,128.9744614834696,-22.3631563858642,51.0,48.0,52.0,61.937463627557484,105.65769282608008,236.0022159224643,1.6353451221655777,2.7896975830557245,6.231205639123927,0.6881940403061947,1.1739743647342236,2.622246843582938,1365079.2505341715,665123.5571971342,1311389.507732342
58,139.46771354042136,128.97660011742752,-22.365175829441352,55.0,54.0,64.0,323.18306639569,327.54186521442443,420.5826428705852,8.53305608984537,8.64814217779985,11.104713257581643,3.590922959952113,3.6393540579380512,4.673140476339838,228358.0642532583,1292411.772449174,2026508.3014961903
59,139.46522064675761,128.97428333119157,-22.36518815318459,55.0,64.0,52.0,182.32643295929537,202.67522542293503,209.93460447079013,4.813995041430325,5.351267582932441,5.542938171628923,2.0258492551032834,2.2519469491437234,2.3326067163421143,228358.0642532583,2026508.3014961903,1311389.507732342
60,139.46655392220646,128.97336510102636,-22.367510623519106,59.0,55.0,65.0,539.6179822933274,655.9429114599519,675.9328793897662,14.247623061910383,17.318969454826888,17.846767892664815,5.995755358814751,7.288254571777247,7.5103653265529635,2208081.791684194,228358.0642532583,2026508.3014961903
61,139.47498179260188,128.98245455195215,-22.36611191025436,63.0,56.0,49.0,164.4012950719621,262.2647852790541,435.1732708037512,4.340714653578706,6.924620612508881,11.489952026209867,1.8266810563551352,2.9140531697672696,4.835258564486125,94497.53725772808,515436.3434985887,1694267.1867298943
62,139.46485222103658,128.974850123926,-22.364208322042927,64.0,52.0,55.0,44.829602176107706,70.95615816961808,185.84387301410453,1.1836434195652603,1.8734672095721083,4.9068665944330645,0.4981066908456414,0.7884017574402012,2.0649319223789404,2026508.3014961903,1311389.507732342,228358.0642532583
63,139.4748545579184,128.98187750988845,-22.36660783057896,61.0,56.0,49.0,164.4012950719621,407.38080023711836,593.5015593593643,4.340714653578706,10.756142817499368,15.670320081756875,1.8266810563551352,4.526453335967983,6.594461770659606,305583.07340315176,515436.3434985887,1694267.1867298943
64,139.46501246516726,128.97480981828224,-22.36441184488645,62.0,52.0,55.0,44.829602176107706,71.31058951966048,148.19463506561286,1.1836434195652603,1.882825319276435,3.9128075221638654,0.4981066908456414,0.7923398835517835,1.6466070562845878,0.0,0.0,0.0
65,139.47110854149977,128.97529957463786,-22.369969067093344,60.0,59.0,55.0,675.9328793897662,1056.100086264027,1068.4679581337832,17.846767892664815,27.884385692250053,28.210936663975268,7.5103653265529635,11.734445402933636,11.871866201486485,0.0,0.0,0.0
