cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
82,169.5564987443513,-166.74764782133656,-32.805797430667866,80.0,80.0,236.73269954231478,242.99897234566475,29170261.045862444,29942392.71086563,101.0,101.0,385.3188932733854,499.5018911326954,61548744.999793604,72.0,92.0,483.5990298447495,576.6752513821234,71058065.29485412
83,169.57025951178136,-166.76855801863317,-32.80500213925015,61.0,61.0,258.06345003423553,391.33678843559113,31798641.330277976,48220614.63239129,93.0,85.0,353.6432916149892,399.593441624633,49238001.454554625,85.0,70.0,384.07081454591685,490.9464059915602,60494536.03152092
84,169.57543965065048,-166.77642732533062,-32.80021640674304,77.0,94.0,283.37356180988564,367.1687634365154,34917359.483803295,45242624.69036406,69.0,77.0,284.77358086996594,381.44009168185914,47001141.24170113,53.0,69.0,306.5195818626177,389.4513452275485,47988289.859885916
85,169.571042134851,-166.7697470017174,-32.8080192325273,100.0,100.0,185.92174235850564,207.17870311743474,22909322.494038418,25528610.38953585,70.0,83.0,353.0595654962777,399.593441624633,49238001.454554625,83.0,70.0,384.07081454591685,531.5915117372149,65502835.88671479
86,169.55092380674677,-166.7391740187046,-32.806431420352304,112.0,112.0,383.9786409233741,397.9421785431965,47313941.899134316,49034532.414434604,101.0,71.0,450.7826183698769,471.284381779978,58071776.606858484,71.0,101.0,469.5227664576564,650.146954526475,80111266.49751166
87,169.57951174109857,-166.78261252389382,-32.80115062677357,102.0,102.0,219.96745866969377,239.36018153897805,27104443.97159847,29494020.019101676,105.0,105.0,342.53221913420293,374.6358614446106,46162722.330328,94.0,91.0,447.77118919701167,550.3337903074419,67812264.02885479
88,169.5766615524525,-166.77828337956853,-32.79564924519156,81.0,78.0,292.52616666078353,379.36507931132667,36045145.68852486,46745457.710702464,91.0,81.0,308.4419219964456,415.800694373998,51235063.0960147,78.0,91.0,338.5711229466118,440.3518256094597,54260259.48204094
89,169.5422968126715,-166.7260584227557,-32.80459723383159,76.0,65.0,528.897242797706,639.5108904440405,65170847.41006928,78800688.08403109,65.0,76.0,600.8211701789135,670.2701674957175,82590853.71351165,74.0,74.0,939.5576476670033,972.2736199556326,119803792.87248395
90,169.5679496926386,-166.7650487172531,-32.81065666586736,95.0,95.0,288.509484762679,390.0802535581301,35550209.164198376,48065784.09795464,70.0,70.0,389.0535034022044,390.94599928227393,48172461.49749192,96.0,166.0,466.158498818551,542.3234049193852,66825222.38526551
91,169.57889247640742,-166.78167195505304,-32.79678452794599,81.0,81.0,277.37412881981436,278.0094963829368,34178107.885752484,34256398.03203218,88.0,102.0,308.4419219964456,412.127091792958,50782400.888914175,102.0,88.0,369.9533856453633,440.3518256094597,54260259.48204094
