,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
165,166,169.5647234839012,-32.828635125648574,-32.7202551414861,174.0,154.0,0.0017736953827348018,0.0019591228506118676,12522.289300616038,13831.407213217877
166,167,169.57589236456306,-32.825532764501794,-32.744888157813975,181.0,149.0,0.001598088944142216,0.00197213926705969,11282.507854200661,13923.303112594696
167,168,169.5777560726593,-32.82342833220266,-32.74701743190188,181.0,181.0,0.0015071947323343523,0.0006743375967374645,10640.794724038153,4760.823394380593
168,169,169.58180220271734,-32.822245802940785,-32.75462599405891,158.0,176.0,0.002025281688099382,0.004067499094647799,14298.488602094088,28716.543375469293
169,170,169.56723604324705,-32.82978099162065,-32.72799106273025,182.0,165.0,0.0011329832027133244,0.0012095870932111237,7998.861346326251,8539.684808857404
170,171,169.57172791147138,-32.822140871825155,-32.731645361803,164.0,136.0,0.0019925669415160633,0.002267542958770364,14067.522493087812,16008.85315916892
171,172,169.5791462504683,-32.82195661849153,-32.748629093025535,186.0,150.0,0.0012776902845021106,0.0011843027564421415,9020.493335474877,8361.177392715172
172,173,169.59954336574418,-32.83513535304844,-32.79970399807772,155.0,155.0,0.014158398319721264,0.030963808613113555,99958.29132708207,218604.48703681835
173,174,169.56501548274215,-32.83038462042925,-32.72277579140949,166.0,157.0,0.0017736953827348018,0.0016617575571887665,12522.289300616038,11732.008258666161
174,175,169.5725962970783,-32.8262268882924,-32.737823104010424,180.0,178.0,0.0014784430475060077,0.0014403728935817987,10437.807830795224,10169.032546268701
175,176,169.58273124488892,-32.824267607556465,-32.75858597253466,185.0,129.0,0.0013509617153770414,0.0028473375458228697,9537.789633259263,20102.2029105835
176,177,169.56982113342445,-32.83010140406767,-32.73487908730442,189.0,163.0,0.0008116476312075368,0.001706351469126984,5730.23222988236,12046.841274398294
177,178,169.57155016904687,-32.82777756651032,-32.73683300794718,175.0,189.0,0.001870557882997378,0.0009226219672314567,13206.138546927308,6513.711035861232
178,179,169.57620779474595,-32.8273700619945,-32.74744469845971,167.0,181.0,0.0018641776409411414,0.0011487748519497507,13161.094038375359,8110.350389031816
179,180,169.5713350296086,-32.82545552701866,-32.733991337710364,175.0,177.0,0.0014784430475060077,0.0017549874638105084,10437.807830795224,12390.211394081001
180,181,169.57735110382285,-32.82488010222669,-32.74755662707608,168.0,168.0,0.0015071947323343523,0.0006743375967374645,10640.794724038153,4760.823394380593
181,182,169.56829772594944,-32.830176568132956,-32.73110957963827,170.0,165.0,0.0011329832027133244,0.002304654514635725,7998.861346326251,16270.860741454828
182,183,169.5730032049415,-32.829494592123645,-32.74205902983032,184.0,184.0,0.0015498656833762773,0.0006482242067271471,10942.051635952492,4576.4628624019715
183,184,169.5736414964704,-32.82808226512162,-32.742172072062786,183.0,183.0,0.0015498656833762773,0.0006482242067271471,10942.051635952492,4576.4628624019715
184,185,169.58372783990012,-32.82517969085313,-32.76154842573483,176.0,129.0,0.0013509617153770414,0.002200901290252223,9537.789633259263,15538.362983244113
185,186,169.57955113644067,-32.82316845998797,-32.75072338704,172.0,158.0,0.0012776902845021106,0.0009911803386659897,9020.493335474877,6997.733134266094
