,cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
141,142,169.57373360894556,-166.77383575725463,-32.80128140315714,140.0,112.0,0.0010678248285805882,0.0010915103551750432,131.5776361321026,134.4961725028902
142,143,169.54415867056258,-166.7288892802872,-32.80051905426861,126.0,126.0,0.000705919925012329,0.0007408262277499629,86.98362554009817,91.28478868727328
143,144,169.54356104818416,-166.72798064351468,-32.7990493146169,126.0,126.0,0.0008875903349552013,0.0009995813515593008,109.36909781574039,123.16865822902066
144,145,169.56564504220347,-166.76154703216383,-32.809894468504886,127.0,127.0,0.000456708560627931,0.0004567174331410426,56.27574036520268,56.276833638434894
145,146,169.56088802412842,-166.7543184734895,-32.80702683729734,181.0,181.0,0.0007456384262041825,0.000802351721964334,91.87774895590313,98.8659751084086
146,147,169.54016080430333,-166.72281054396726,-32.80163769494285,160.0,160.0,0.00046291455300093447,0.0005091624038405871,57.040444260858564,62.739115734681036
147,148,169.57684432015125,-166.77856099580856,-32.79563187448924,170.0,170.0,0.0012495044569019115,0.0018665100012700533,153.96424429858865,229.99181814351948
148,149,169.57086117123012,-166.7694720790921,-32.80798065358986,165.0,165.0,0.000840860753086591,0.0008532180700636156,103.61106732689484,105.13373894236317
149,150,169.57166499157947,-166.77069324379093,-32.80670004773437,174.0,149.0,0.0014844637726383273,0.001769518177007861,182.9159885588419,218.0404618732935
150,151,169.57278484097338,-166.7723944722251,-32.80267120134294,140.0,140.0,0.000615526563747551,0.0007433825163363204,75.84533349170621,91.59977519110977
151,152,169.56805510953265,-166.76520888199607,-32.81025652598124,164.0,164.0,0.0010371819726393355,0.001575777283826212,127.80181594027768,194.1676617054524
152,153,169.56298447605678,-166.75750427508973,-32.80861963430325,137.0,137.0,0.0007000315976328943,0.0008445899082499286,86.2580644025211,104.07057473675158
153,154,169.54997134487195,-166.73772615595715,-32.80603575675128,207.0,207.0,0.0036663308757643705,0.004159743530590339,451.7661858007738,512.564613615909
154,155,169.55603720520418,-166.7469463427901,-32.805556527072476,157.0,157.0,0.0006550621188627974,0.0009481663708479354,80.71691424727767,116.83329175063338
155,156,169.565633481172,-166.761529465741,-32.810493069803755,145.0,145.0,0.0005987129299220219,0.0005988589936020538,73.77355342596773,73.79155142828886
156,157,169.5566361336055,-166.74785663302796,-32.80529121376778,186.0,167.0,0.0005608699104455304,0.0006513710457521063,69.1105273251075,80.26209931724736
157,158,169.57810763521906,-166.7804798761922,-32.80521690362204,202.0,198.0,0.0012206314574553657,0.0013510953914709696,150.4065062562265,166.48230406389308
158,159,169.57427946171444,-166.77466495072497,-32.80220915708985,142.0,142.0,0.0010764212023868687,0.0012443026846008548,132.6368834116792,153.32328064542065
159,160,169.53997570788036,-166.7225290885429,-32.80206199341985,147.0,147.0,0.00046291455300093447,0.0005091624038405871,57.040444260858564,62.739115734681036
160,161,169.53918523496728,-166.7213270876725,-32.80111184773077,169.0,169.0,0.0008308437099769414,0.0009009854746232708,102.37676482884088,111.0196501966274
161,162,169.57853753642172,-166.78113284752905,-32.79680818817882,170.0,170.0,0.0009987668185134717,0.0011398305424315132,123.06829126821106,140.4501977760411
162,163,169.5690791205453,-166.7667646833753,-32.811193496366904,164.0,164.0,0.0009279196476756508,0.0009280411823000703,114.33848557725432,114.3534611033531
163,164,169.56909225119998,-166.7667846327511,-32.81026566962745,134.0,134.0,0.0007006669842996806,0.0007808066313788255,86.33635690275892,96.21118378532103
